UF,Região,Ano,Qtd Ações,Soma Empenhado,Soma Liquidado,Soma Pago,Soma RP Pago,Soma Despesa Executada,Média Empenhado,Máximo Empenhado
AP,REGIAO NORTE,2018,1447,137500602.92,133057182.92,133057182.92,5732324.71,137500602.92,95024.6046440912,8962833.11
AP,REGIAO NORTE,2019,1414,137146706.17,135163055.83,135163055.83,2688620,137146706.17,96992.0128500707,9112530.18
AP,REGIAO NORTE,2020,1432,223444401.6,221074042.79,221074042.79,683650.34,225814760.41,156036.593296089,35457173
AP,REGIAO NORTE,2021,1437,178175630.95,172436028.1,172436028.1,169953.67,178175630.95,123991.392449548,35000000
AP,REGIAO NORTE,2022,1586,185482765.08,184615836.08,184615836.08,4789704,185482765.08,116950.041034048,37956446
BA,REGIAO NORDESTE,2018,2201,1320117511.49,1319267511.49,1319267511.49,68055873.91,1320117511.49,599780.786683326,101935122.72
BA,REGIAO NORDESTE,2019,1644,1453643701.51,1444085782.61,1444085782.61,431478.3,1453643701.51,884211.497268857,101022418.04
BA,REGIAO NORDESTE,2020,1905,1471964575.47,1469664575.47,1469664575.47,4794005.88,1474264575.47,772684.816519686,100126312.99
BA,REGIAO NORDESTE,2021,1930,1420449965.92,1420349965.92,1420349965.92,1900000,1420449965.92,735984.438300518,100257361.86
BA,REGIAO NORDESTE,2022,1973,1430564895.74,1425068657.54,1425068657.54,410387,1430564895.74,725070.905088697,110919000.64
CE,REGIAO NORDESTE,2018,1638,554087281.81,550037281.81,550037281.81,20358902.43,554087281.81,338270.623815629,88569398
CE,REGIAO NORDESTE,2019,1472,656218959.98,655308772.23,655308772.23,4896219.94,656218959.98,445800.923899456,85093813
CE,REGIAO NORDESTE,2020,1468,701187361.86,700536952.22,700536952.22,974264.86,701837771.5,477648.066662125,105970421
CE,REGIAO NORDESTE,2021,1620,757998252.760001,756950128.990001,756950128.990001,649939,757998252.76,467900.156024692,103096010
CE,REGIAO NORDESTE,2022,1626,762619724.32,761669793.32,761669793.32,1047945,762619724.32,469015.820615006,87902509
DF,REGIAO CENTRO OESTE,2018,4122,671932960.87,654740804.56,654740804.56,31854991.83,671932960.87,163011.392738962,35952129.79
DF,REGIAO CENTRO OESTE,2019,2956,785182486.14,772206435.87,772206435.87,5734507.81,785182486.14,265623.303836265,62316351
DF,REGIAO CENTRO OESTE,2020,3397,808965508.570001,767155592.46,767155592.46,10396189.91,850775424.68,238141.15648219,36971346.81
DF,REGIAO CENTRO OESTE,2021,3884,723985258.449999,680946916.45,680946916.45,29013716.11,723985258.45,186401.971794542,40818259.43
DF,REGIAO CENTRO OESTE,2022,4025,789209135.48,757778191.48,757778191.48,44397302,789209135.48,196076.803845963,41851478.16
ES,REGIAO SUDESTE,2018,1513,599454561.29,577274146.29,577274146.29,5612089.23,599454561.29,396202.6181692,40276791.79
ES,REGIAO SUDESTE,2019,1529,682171826.88,664924090.54,664924090.54,22180415,682171826.88,446155.544068018,41033270.66
ES,REGIAO SUDESTE,2020,1426,666258884.34,666246854.54,666246854.54,1587846.34,666270914.14,467222.219032258,51107989
ES,REGIAO SUDESTE,2021,1670,645088256.44,642938868.81,642938868.81,0,645088256.44,386280.393077844,42626449.35
ES,REGIAO SUDESTE,2022,1908,712323648.09,699130690.09,699130690.09,17128759.71,712323648.09,373335.245330189,48269619
GO,REGIAO CENTRO OESTE,2018,1209,112670436.92,112670436.92,112670436.92,1381032.09,112670436.92,93193.0826468156,7266889.02
GO,REGIAO CENTRO OESTE,2019,1220,277962865.44,237807688.44,237807688.44,0,277962865.44,227838.414295082,85413474
GO,REGIAO CENTRO OESTE,2020,1324,226909395.07,225505673.25,225505673.25,40155177,228313116.89,171381.718330816,18607688
GO,REGIAO CENTRO OESTE,2021,1356,230782292.92,227758878.15,227758878.15,1357709,230782292.92,170193.431356932,19689040.84
GO,REGIAO CENTRO OESTE,2022,1697,335637940.87,334378731.9,334378731.9,1830118,335637940.87,197783.111885681,24067383.87
MA,REGIAO NORDESTE,2018,1161,372096614.99,372096614.99,372096614.99,4955710.95,372096614.99,320496.653738157,27507851.81
